Country Name,Year,GDP,Population,GHG,GDP_per_capita,GHG_per_capita
Greece,2000,125760166224.805,10805808,126659.45,11638.201069721486,0.011721423330860589
Hungary,2000,47275954428.9586,10210971,75378.31,4629.917608125476,0.007382090302675426
Iceland,2000,9140168922.35677,281205,4154.23,32503.578963235967,0.0147729592290322
Ireland,2000,100207610429.909,3805174,69712.38,26334.567205050018,0.018320418461810158
Italy,2000,1149661363439.38,56942108,559978.14,20190.003563608498,0.009834165956764368
Japan,2000,4968359075956.59,126843000,1373303.42,39169.359570150424,0.0108267970640871
Kazakhstan,2000,18291990662.0356,15501103,260434.12,1180.0444563225983,0.016801005709077606
Liechtenstein,2000,2483889858.32312,32645,247.63,76087.91111420187,0.007585541430540664
Luxembourg,2000,21230182989.3036,436300,9635.0,48659.598875323405,0.022083428833371534
Malta,2000,4036809815.46617,390087,2749.71,10348.485890240305,0.007048965999892332
Monaco,2000,2654462665.26893,32455,106.29,81789.02065225481,0.0032749961485133263
Netherlands,2000,417649282153.726,15925513,219454.92,26225.1697734149,0.01378008482364116
New Zealand,2000,52623281956.7031,3857700,74850.47,13641.102718382223,0.01940287476994064
Norway,2000,171457201935.968,4490967,54074.16,38178.236877707626,0.012040649597291632
Poland,2000,172953527033.013,38258629,393992.73,4520.641004491117,0.010298140322801425
Portugal,2000,118605192877.388,10289898,82420.02,11526.372066796775,0.008009799514047662
Romania,2000,37253739511.1273,22442971,142238.31,1659.9290491052766,0.006337766510503444
Russian Federation,2000,259710142196.943,146596869,1895001.38,1771.5940590582668,0.012926615642793843
Slovak Republic,2000,29215726004.7765,5388720,48986.21,5421.644844188694,0.009090509434522484
Slovenia,2000,20159190701.6789,1988925,18769.38,10135.721910921176,0.009436947094535993
Spain,2000,598102854756.08,40567864,383276.36,14743.267103145483,0.009447782609407289
Sweden,2000,262903560280.282,8872109,68349.11,29632.58908116233,0.007703817660490871
Switzerland,2000,279216033870.204,7184250,53839.34,38865.021939688064,0.007494079409820092
Ukraine,2000,32375083934.8241,49556660,427917.24,653.2943086726204,0.008634908809431466
United Kingdom,2000,1671597821152.97,58892514,723919.58,28383.876109499586,0.012292217309656708
United States,2000,10250947997000.0,282162411,7369162.97,36329.95607271019,0.026116742282869136
Australia,2005,696811489612.816,20176844,524811.85,34535.20727090996,0.02601060155889593
Austria,2005,313952317330.776,8227829,92588.58,38157.37022861997,0.01125309969373452
Belarus,2005,30210091836.8294,9663915,86538.4,3126.0717666524797,0.00895479730523292
Belgium,2005,385714762230.039,10478617,145418.35,36809.7013403619,0.013877628125925396
Bulgaria,2005,29868657858.0082,7658972,62364.32,3899.825963328786,0.008142648909018077
Canada,2005,1173108598778.68,32242732,732220.09,36383.660006809594,0.02270961685256696
Croatia,2005,45013119281.806,4310145,29876.44,10443.527835329438,0.006931655431545806
Cyprus,2005,18433412510.8817,1036151,9222.44,17790.276234720324,0.008900671813278182
Czechia,2005,137264185596.1,10211216,148934.99,13442.491628430933,0.014585431353131693
Denmark,2005,265150087711.985,5419432,68748.18,48925.8076698785,0.012685495454136152
Finland,2005,204859368790.661,5246096,69704.7,39049.87037802225,0.013286966155403942
France,2005,2192146403028.17,63180854,553899.48,34696.37183169714,0.008766888146209609
Germany,2005,2893393187361.87,82469422,984986.97,35084.43635462693,0.011943662828144958
Greece,2005,242315668619.405,10987314,136748.14,22054.131575688563,0.01244600272641703
Hungary,2005,113098237570.929,10087065,76954.88,11212.204696899345,0.00762906554086843
Iceland,2005,17146410560.5279,296734,4059.34,57783.774560811704,0.013680063626008479
Ireland,2005,211876989655.907,4159914,71531.48,50933.021609559,0.01719542278999037
Italy,2005,1864982261286.85,58166682,594197.38,32062.723833669075,0.01021542504349827
Japan,2005,4831467035389.8,127773000,1377463.88,37812.89501999483,0.010780555203368472
Kazakhstan,2005,57123671733.8952,15968117,287466.39,3577.358040017818,0.018002522777106407
Liechtenstein,2005,3659319116.88057,34753,264.52,105295.05702761114,0.0076114292291312976
Luxembourg,2005,37672280120.4794,465158,12993.83,80988.13762308592,0.02793422879967667
Malta,2005,6393234992.55141,403834,2997.66,15831.344048672003,0.00742300053982577
Monaco,2005,4204652898.73103,32210,97.74,130538.74258711674,0.0030344613474076374
Netherlands,2005,688133699635.797,16319868,214666.95,42165.396168387946,0.013153718522723346
New Zealand,2005,114720129550.095,4133900,81752.18,27751.065470885846,0.019776041994242724
Norway,2005,309978579743.888,4623291,54471.72,67047.17045582637,0.011782022805832468
Poland,2005,306999913150.525,38165445,400708.69,8043.923322537574,0.010499253709736648
Portugal,2005,197253876704.921,10503330,86489.22,18780.127512409967,0.008234457072185678
Romania,2005,98454380120.0761,21319685,151327.1,4618.003508029134,0.007097998868182152
Russian Federation,2005,764015973481.11,143518814,1970602.69,5323.455177668274,0.013730622732152734
Slovak Republic,2005,62547753148.4638,5372807,50666.31,11641.541032176254,0.00943013772875147
Slovenia,2005,35947936823.7781,2000474,20643.29,17969.70959071605,0.010319199349754109
Spain,2005,1154667551775.88,43653155,438759.63,26450.953013038346,0.010051040526165863
Sweden,2005,391688455928.597,9029572,66540.93,43378.40773943626,0.007369223037370984
Switzerland,2005,418284865884.998,7437115,56089.86,56242.89336456381,0.007541884184929236
Ukraine,2005,89238865118.5263,47585556,442402.01,1875.3351356980322,0.00929698099986475
United Kingdom,2005,2551361818181.82,60401206,699595.39,42240.2462987547,0.011582473866498626
United States,2005,13039199193000.0,295516599,7477358.36,44123.407067905515,0.025302667888378073
Australia,2010,1152566632022.13,22031750,536893.74,52313.89390412155,0.02436909187876587
Austria,2010,389827789217.634,8363404,84693.29,46611.139342023176,0.01012665297527179
